"DS1TCALC.Code.or.Value","DS1TCALC.Value.Description","DS1TCALC.Count","DS1TCALC.Cumulative","DS1TCALC.Skip.to.Item"
"2 to 3450","Range of Values",1955,1955,NA
".","Missing",8298,10253,NA
