"AUXLR209.Code.or.Value","AUXLR209.Value.Description","AUXLR209.Count","AUXLR209.Cumulative","AUXLR209.Skip.to.Item"
"-45 to 43","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
