"URD34MLC.Code.or.Value","URD34MLC.Value.Description","URD34MLC.Count","URD34MLC.Cumulative","URD34MLC.Skip.to.Item"
"0","At or above the detection limit",2464,2464,NA
"1","Below lower detection limit",2,2466,NA
".","Missing",85,2551,NA
