"LBDF10LC.Code.or.Value","LBDF10LC.Value.Description","LBDF10LC.Count","LBDF10LC.Cumulative","LBDF10LC.Skip.to.Item"
"0","detectable result",16,16,NA
"1","below detectable limit",1868,1884,NA
".","Missing",390,2274,NA
