"MCQ260BG.Code.or.Value","MCQ260BG.Value.Description","MCQ260BG.Count","MCQ260BG.Cumulative","MCQ260BG.Skip.to.Item"
"7","Brother",18,18,"MCQ250C"
".","Missing",9475,9493,""
