"KIQ026.Code.or.Value","KIQ026.Value.Description","KIQ026.Count","KIQ026.Cumulative","KIQ026.Skip.to.Item"
"1","Yes",542,542,""
"2","No",5659,6201,"KIQ005"
"7","Refused",0,6201,"KIQ005"
"9","Don't know",17,6218,"KIQ005"
".","Missing",0,6218,""
