"URXMHNC.Code.or.Value","URXMHNC.Value.Description","URXMHNC.Count","URXMHNC.Cumulative","URXMHNC.Skip.to.Item"
"0.28 to 168.1","Range of Values",2489,2489,NA
".","Missing",105,2594,NA
