"SPQ050.Code.or.Value","SPQ050.Value.Description","SPQ050.Count","SPQ050.Cumulative","SPQ050.Skip.to.Item"
"1","Yes",37,37,"SPAENA"
"2","No",1212,1249,""
"7","Refused",0,1249,"SPAENA"
"9","Don't know",2,1251,"SPAENA"
".","Missing",6944,8195,""
