"RHQ554.Code.or.Value","RHQ554.Value.Description","RHQ554.Count","RHQ554.Cumulative","RHQ554.Skip.to.Item"
"1","Yes",389,389,""
"2","No",112,501,"RHQ562"
"7","Refused",0,501,"RHQ562"
"9","Don't know",21,522,"RHQ562"
".","Missing",3042,3564,""
