"DXXIMY.Code.or.Value","DXXIMY.Value.Description","DXXIMY.Count","DXXIMY.Cumulative","DXXIMY.Skip.to.Item"
"148.1 to 439.2","Range of Values",3295,3295,NA
".","Missing",413,3708,NA
