"DXXWDGDE.Code.or.Value","DXXWDGDE.Value.Description","DXXWDGDE.Count","DXXWDGDE.Cumulative","DXXWDGDE.Skip.to.Item"
"-0.093 to 0.264","Range of Values",3302,3302,NA
".","Missing",406,3708,NA
