"LBDLDL.Code.or.Value","LBDLDL.Value.Description","LBDLDL.Count","LBDLDL.Cumulative","LBDLDL.Skip.to.Item"
"21 to 629","Range of Values",3618,3618,NA
".","Missing",416,4034,NA
