"BMXWT.Code.or.Value","BMXWT.Value.Description","BMXWT.Count","BMXWT.Cumulative","BMXWT.Skip.to.Item"
"3.1 to 218.2","Range of Values",9631,9631,NA
".","Missing",131,9762,NA
