"URXUMS.Code.or.Value","URXUMS.Value.Description","URXUMS.Count","URXUMS.Cumulative","URXUMS.Skip.to.Item"
"0.21 to 5440","Range of Values",8398,8398,NA
".","Missing",193,8591,NA
