"DXXWDGDE.Code.or.Value","DXXWDGDE.Value.Description","DXXWDGDE.Count","DXXWDGDE.Cumulative","DXXWDGDE.Skip.to.Item"
"-0.142 to 0.371","Range of Values",3286,3286,NA
".","Missing",422,3708,NA
