"WBXF007.Code.or.Value","WBXF007.Value.Description","WBXF007.Count","WBXF007.Cumulative","WBXF007.Skip.to.Item"
"363.9133 to 363.9133","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
