"AUXRR222.Code.or.Value","AUXRR222.Value.Description","AUXRR222.Count","AUXRR222.Cumulative","AUXRR222.Skip.to.Item"
"-90 to 45","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
