"AUXLR102.Code.or.Value","AUXLR102.Value.Description","AUXLR102.Count","AUXLR102.Cumulative","AUXLR102.Skip.to.Item"
"-56 to 85","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
