"SMD415.Code.or.Value","SMD415.Value.Description","SMD415.Count","SMD415.Cumulative","SMD415.Skip.to.Item"
"1 to 2","Range of Values",1635,1635,NA
"3","3 or more",205,1840,NA
".","Missing",8309,10149,NA
