"DR1EXMER.Code.or.Value","DR1EXMER.Value.Description","DR1EXMER.Count","DR1EXMER.Cumulative","DR1EXMER.Skip.to.Item"
"16 to 91","Range of Values",145703,145703,NA
".","Missing",0,145703,NA
