"BAQ060G.Code.or.Value","BAQ060G.Value.Description","BAQ060G.Count","BAQ060G.Cumulative","BAQ060G.Skip.to.Item"
"7","Vision or seeing problems",75,75,NA
".","Missing",3224,3299,NA
