"OPDSSDD.Code.or.Value","OPDSSDD.Value.Description","OPDSSDD.Count","OPDSSDD.Cumulative","OPDSSDD.Skip.to.Item"
"0","No",2721,2721,NA
"1","Yes",336,3057,NA
".","Missing",806,3863,NA
