"VIQ130.Code.or.Value","VIQ130.Value.Description","VIQ130.Count","VIQ130.Cumulative","VIQ130.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",3684,3684,NA
".","Missing",179,3863,NA
