"CIQD047.Code.or.Value","CIQD047.Value.Description","CIQD047.Count","CIQD047.Cumulative","CIQD047.Skip.to.Item"
"1","Yes",33,33,NA
"2","No",74,107,NA
"7","Refuse",1,108,NA
"9","Don't know",1,109,NA
".","Missing",669,778,NA
