"DUQ200.Code.or.Value","DUQ200.Value.Description","DUQ200.Count","DUQ200.Cumulative","DUQ200.Skip.to.Item"
"1","Yes",1619,1619,""
"2","No",1303,2922,"DUQ240"
"7","Refused",5,2927,"DUQ240"
"9","Don't know",5,2932,"DUQ240"
".","Missing",353,3285,""
