"DXXPT23Y.Code.or.Value","DXXPT23Y.Value.Description","DXXPT23Y.Count","DXXPT23Y.Cumulative","DXXPT23Y.Skip.to.Item"
"181.3 to 423.5","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
