"ORXH82.Code.or.Value","ORXH82.Value.Description","ORXH82.Count","ORXH82.Cumulative","ORXH82.Skip.to.Item"
"1","Positive",3,3,NA
"2","Negative",4844,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
