"DR2TWS.Code.or.Value","DR2TWS.Value.Description","DR2TWS.Count","DR2TWS.Cumulative","DR2TWS.Skip.to.Item"
"1","Community supply",5107,5107,NA
"2","Well or rain cistern",649,5756,NA
"3","Spring",85,5841,NA
"4","Don't drink tap water",1788,7629,NA
"91","Other",6,7635,NA
"99","Don't know",285,7920,NA
".","Missing",1842,9762,NA
