"DSDSUPP.Code.or.Value","DSDSUPP.Value.Description","DSDSUPP.Count","DSDSUPP.Cumulative","DSDSUPP.Skip.to.Item"
"Supplement name","Value was recorded",7934,7934,NA
"7777","Refused",3,7937,NA
"9999","Don't know",29,7966,NA
"< blank >","Missing",0,7966,NA
