"DR1TFA.Code.or.Value","DR1TFA.Value.Description","DR1TFA.Count","DR1TFA.Cumulative","DR1TFA.Skip.to.Item"
"0 to 4109","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
