"AUDTYL20.Code.or.Value","AUDTYL20.Value.Description","AUDTYL20.Count","AUDTYL20.Cumulative","AUDTYL20.Skip.to.Item"
"0 to 1.44","Range of Values",1672,1672,NA
".","Missing",135,1807,NA
