"TYXP072.Code.or.Value","TYXP072.Value.Description","TYXP072.Count","TYXP072.Cumulative","TYXP072.Skip.to.Item"
"-159 to 123","Range of Values",8466,8466,NA
".","Missing",3,8469,NA
