"LBX3AL.Code.or.Value","LBX3AL.Value.Description","LBX3AL.Count","LBX3AL.Cumulative","LBX3AL.Skip.to.Item"
"0.82 to 8.39","Range of Values",1714,1714,NA
".","Missing",610,2324,NA
