"DR1IS060.Code.or.Value","DR1IS060.Value.Description","DR1IS060.Count","DR1IS060.Cumulative","DR1IS060.Skip.to.Item"
"0 to 2.278","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
