"RFXC120.Code.or.Value","RFXC120.Value.Description","RFXC120.Count","RFXC120.Cumulative","RFXC120.Skip.to.Item"
"-7.555 to 5.753","Range of Values",33684,33684,NA
".","Missing",37,33721,NA
