"DR1LANG.Code.or.Value","DR1LANG.Value.Description","DR1LANG.Count","DR1LANG.Cumulative","DR1LANG.Skip.to.Item"
"1","English",5250,5250,NA
"2","Spanish",405,5655,NA
"3","English and Spanish",59,5714,NA
"4","Other",9,5723,NA
".","Missing",0,5723,NA
