"LBXIGGA.Code.or.Value","LBXIGGA.Value.Description","LBXIGGA.Count","LBXIGGA.Cumulative","LBXIGGA.Skip.to.Item"
"1","low",24,24,NA
"2","high",160,184,NA
"3","indeterminate",8,192,NA
".","Missing",943,1135,NA
