"DR1TCAFF.Code.or.Value","DR1TCAFF.Value.Description","DR1TCAFF.Count","DR1TCAFF.Cumulative","DR1TCAFF.Skip.to.Item"
"0 to 3219","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
