"AUDTYR83.Code.or.Value","AUDTYR83.Value.Description","AUDTYR83.Count","AUDTYR83.Cumulative","AUDTYR83.Skip.to.Item"
"0 to 0.13","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
