"DRD370A.Code.or.Value","DRD370A.Value.Description","DRD370A.Count","DRD370A.Cumulative","DRD370A.Skip.to.Item"
"1","Yes",492,492,""
"2","No",1535,2027,"DRD370B"
".","Missing",8450,10477,""
