"TYXP012.Code.or.Value","TYXP012.Value.Description","TYXP012.Count","TYXP012.Cumulative","TYXP012.Skip.to.Item"
"25 to 195","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
