"CBQ060.Code.or.Value","CBQ060.Value.Description","CBQ060.Count","CBQ060.Cumulative","CBQ060.Skip.to.Item"
"1","Always",4324,4324,NA
"2","Most of the time",1481,5805,NA
"3","Sometimes",1788,7593,NA
"4","Rarely",1240,8833,NA
"5","Never",1189,10022,NA
"77","Refused",3,10025,NA
"99","Don't know",1,10026,NA
".","Missing",123,10149,NA
