"OSQ090c.Code.or.Value","OSQ090c.Value.Description","OSQ090c.Count","OSQ090c.Cumulative","OSQ090c.Skip.to.Item"
"1","Yes",60,60,"OSQ120c"
"2","No",20,80,""
"7","Refused",0,80,"OSQ120c"
"9","Don't know",0,80,"OSQ120c"
".","Missing",3735,3815,""
