"DXXPT25Y.Code.or.Value","DXXPT25Y.Value.Description","DXXPT25Y.Count","DXXPT25Y.Cumulative","DXXPT25Y.Skip.to.Item"
"164.9 to 400","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
