"AUDTYR82.Code.or.Value","AUDTYR82.Value.Description","AUDTYR82.Count","AUDTYR82.Cumulative","AUDTYR82.Skip.to.Item"
"0 to 0.44","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
