"HOQ065.Code.or.Value","HOQ065.Value.Description","HOQ065.Count","HOQ065.Cumulative","HOQ065.Skip.to.Item"
"1","Owned or being bought",5003,5003,NA
"2","Rented",4434,9437,NA
"3","Other arrangement",259,9696,NA
"7","Refused",9,9705,NA
"9","Don't know",2,9707,NA
".","Missing",49,9756,NA
