"DUQ270Q.Code.or.Value","DUQ270Q.Value.Description","DUQ270Q.Count","DUQ270Q.Cumulative","DUQ270Q.Skip.to.Item"
"1 to 41","Range of Values",572,572,NA
"7777","Refused",2,574,NA
"9999","Don't know",0,574,NA
".","Missing",4483,5057,NA
