"AUXRR175.Code.or.Value","AUXRR175.Value.Description","AUXRR175.Count","AUXRR175.Cumulative","AUXRR175.Skip.to.Item"
"-13 to 63","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
