"CBQ550.Code.or.Value","CBQ550.Value.Description","CBQ550.Count","CBQ550.Cumulative","CBQ550.Skip.to.Item"
"1","Yes",1870,1870,""
"2","No",580,2450,"CBQ595"
"7","Refused",0,2450,""
"9","Don't know",0,2450,""
".","Missing",495,2945,""
