"WBXF075.Code.or.Value","WBXF075.Value.Description","WBXF075.Count","WBXF075.Cumulative","WBXF075.Skip.to.Item"
"3174.8021 to 3174.8021","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
