"DXXPT23Y.Code.or.Value","DXXPT23Y.Value.Description","DXXPT23Y.Count","DXXPT23Y.Cumulative","DXXPT23Y.Skip.to.Item"
"109.3 to 298.5","Range of Values",3194,3194,NA
".","Missing",514,3708,NA
