"WTSPP17.Code.or.Value","WTSPP17.Value.Description","WTSPP17.Count","WTSPP17.Cumulative","WTSPP17.Skip.to.Item"
"0 to 843779.71668","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
