"CIQGPO.Code.or.Value","CIQGPO.Value.Description","CIQGPO.Count","CIQGPO.Cumulative","CIQGPO.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",2,2,NA
"7","Refused",0,2,NA
"9","Don't know",0,2,NA
".","Missing",926,928,NA
