"URD14DLC.Code.or.Value","URD14DLC.Value.Description","URD14DLC.Count","URD14DLC.Cumulative","URD14DLC.Skip.to.Item"
"0","At or above the detection limit",2519,2519,NA
"1","Below lower detection limit",29,2548,NA
".","Missing",90,2638,NA
