"DR1TSELE.Code.or.Value","DR1TSELE.Value.Description","DR1TSELE.Count","DR1TSELE.Cumulative","DR1TSELE.Skip.to.Item"
"0 to 651.7","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
