"DRABF.Code.or.Value","DRABF.Value.Description","DRABF.Count","DRABF.Cumulative","DRABF.Skip.to.Item"
"1","Yes",1536,1536,NA
"2","No",119805,121341,NA
".","Missing",0,121341,NA
