"DR2TM201.Code.or.Value","DR2TM201.Value.Description","DR2TM201.Count","DR2TM201.Cumulative","DR2TM201.Skip.to.Item"
"0 to 3.687","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
