"AUXLR123.Code.or.Value","AUXLR123.Value.Description","AUXLR123.Count","AUXLR123.Cumulative","AUXLR123.Skip.to.Item"
"-64 to 53","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
