"FSD151.Code.or.Value","FSD151.Value.Description","FSD151.Count","FSD151.Cumulative","FSD151.Skip.to.Item"
"1","Yes",1240,1240,NA
"2","No",9183,10423,NA
"7","Refused",28,10451,NA
"9","Don't know",19,10470,NA
".","Missing",67,10537,NA
