"RFXC015.Code.or.Value","RFXC015.Value.Description","RFXC015.Count","RFXC015.Cumulative","RFXC015.Skip.to.Item"
"-5.651 to 5.056","Range of Values",33713,33713,NA
".","Missing",8,33721,NA
