"DR2TMOIS.Code.or.Value","DR2TMOIS.Value.Description","DR2TMOIS.Count","DR2TMOIS.Cumulative","DR2TMOIS.Skip.to.Item"
"67.59 to 12661.8","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
