"DXXHEFAT.Code.or.Value","DXXHEFAT.Value.Description","DXXHEFAT.Count","DXXHEFAT.Cumulative","DXXHEFAT.Skip.to.Item"
"615.6 to 3007","Range of Values",4725,4725,NA
".","Missing",967,5692,NA
