"MIAINTRP.Code.or.Value","MIAINTRP.Value.Description","MIAINTRP.Count","MIAINTRP.Cumulative","MIAINTRP.Skip.to.Item"
"1","Yes",346,346,NA
"2","No",6632,6978,NA
".","Missing",2993,9971,NA
