"PAQ764.Code.or.Value","PAQ764.Value.Description","PAQ764.Count","PAQ764.Cumulative","PAQ764.Skip.to.Item"
"1","1 day a week",22,22,NA
"2","2 days a week",32,54,NA
"3","3 days a week",32,86,NA
"4","4 days a week, or",28,114,NA
"5","Every day",1338,1452,NA
"7","Refused",0,1452,NA
"9","Don't know",15,1467,NA
".","Missing",8017,9484,NA
